metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_failed,1693996015,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996015,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996015,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996015,995.300000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996015,39.905000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996015,15.926000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996015,23.916000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996015,0.069000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996015,995.193000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996015,0.038000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996015,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996015,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996015,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996015,1137.217000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
